"year","LS0A11CD","LS0A11NM","c1","c2","c3","c4","c5","c0","male","female","unknowsex","avgage","PNT_COUNT","PERCENTAGE","FREQUENCY","SUM_Field15","total_incidents"
"2020","E01003823","Richmond upon Thames 023B","5","36","29","2","3","1","31","44","1","55","5","0.004254016","4","24","76"
"2020","E01003824","Richmond upon Thames 023C","4","26","10","NULL","4","0","15","29","0","59","2","0.001701606","4","11","44"
"2020","E01003825","Richmond upon Thames 023D","3","19","8","2","4","0","12","24","0","66","2","0.001701606","4","15","36"
"2020","E01003826","Richmond upon Thames 023E","1","42","12","3","6","5","31","35","2","63","19","0.01616526","4","15","69"
"2020","E01003827","Richmond upon Thames 023F","3","32","19","4","8","1","38","26","2","49","5","0.004254016","4","12","67"
"2020","E01003828","Richmond upon Thames 020A","5","23","17","1","NULL","4","22","30","1","64","2","0.001701606","4","17","53"
"2020","E01003829","Richmond upon Thames 020B","3","49","21","2","13","7","35","58","2","58","2","0.001701606","4","23","95"
"2020","E01003830","Richmond upon Thames 020C","1","31","9","4","8","4","33","23","1","56","3","0.002552409","4","11","57"
"2020","E01003831","Richmond upon Thames 020D","3","40","21","1","3","3","32","37","2","60","4","0.003403213","3","12","71"
"2020","E01003832","Richmond upon Thames 020E","8","44","22","1","8","4","30","55","2","48","12","0.010209638","4","13","87"
"2020","E01003833","Richmond upon Thames 020F","2","30","24","4","NULL","5","38","29","1","62","3","0.002552409","4","10","68"
"2020","E01003834","Richmond upon Thames 022A","11","60","17","8","1","0","74","21","2","42","1","0.000850803","3","8","97"
"2020","E01003835","Richmond upon Thames 022B","4","13","9","1","2","0","9","19","0","59","15","0.012762047","4","8","29"
"2020","E01003836","Richmond upon Thames 022C","31","15","NULL","1","51",,"8","40","3","70","3","0.002552409","4","8",
"2020","E01003837","Richmond upon Thames 022D","2","14","13","NULL","1","0","11","21","0","52","5","0.004254016","3","10","32"
"2020","E01003838","Richmond upon Thames 022E","1","9","9","1","NULL","0","9","12","0","59","6","0.005104819","4","7","21"
"2020","E01003839","Richmond upon Thames 022F","4","36","14","3","5","1","22","40","1","47","10","0.008508032","3","7","63"
"2020","E01003840","Richmond upon Thames 013A","8","25","15","2","NULL","1","21","34","0","45","6","0.005104819","4","14","56"
"2020","E01003841","Richmond upon Thames 013B","9","40","26","3","10","1","50","37","2","42","2","0.001701606","4","16","89"
